race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,24,40,0,16,6.474014,3.29596,1,0,0
1,90,37,0,16,6.608729,2.108919,1,0,0
1,40,51,0,11,5.952256,2.263376,1,0,0
1,24,33,0,18,6.252347,3.074293,1,0,0
1,40,43,0,12,5.729093,2.040213,0,0,1
1,25,57,1,16,5.361198,2.142323,1,0,0
1,40,58,0,12,5.789715,2.100836,1,0,0
1,40,46,0,13,6.074472,2.385593,0,1,0
1,40,33,0,12,6.032198,2.343319,1,0,0
1,20,45,1,12,5.224186,2.228454,1,0,0
1,25,24,1,12,5.460819,2.241943,0,1,0
1,40,29,0,12,5.966147,2.277267,1,0,0
1,60,37,0,18,1.366092,-2.728253,1,0,0
1,11,18,1,10,4.60517,2.207275,0,1,0
1,40,60,0,12,5.952256,2.263376,0,0,1
1,48,41,0,12,6.357704,2.486503,1,0,0
1,40,33,0,12,4.342766,0.6538864,1,0,0
1,30,18,1,11,5.521461,2.120264,0,1,0
1,40,40,0,16,6.323803,2.634924,1,0,0
1,60,55,0,18,6.304449,2.210104,1,0,0
1,40,42,0,12,6.175389,2.48651,1,0,0
1,40,42,0,16,6.806664,3.117784,1,0,0
1,40,33,0,13,5.846872,2.157993,0,0,1
1,40,39,0,12,5.729093,2.040213,0,1,0
1,46,41,0,12,5.664557,1.835915,1,0,0
1,25,32,0,12,6.297993,3.079117,0,1,0
1,8,41,1,16,6.241172,4.161731,1,0,0
1,52,36,0,17,6.770434,2.81919,1,0,0
1,60,35,0,15,3.341801,-0.7525434,1,0,0
1,72,34,0,12,6.410306,2.13364,1,0,0
1,50,27,0,12,6.252347,2.340324,1,0,0
1,40,48,0,16,6.323803,2.634924,1,0,0
1,50,27,0,12,6.070022,2.157999,1,0,0
1,64,38,0,12,5.145341,0.9864579,1,0,0
1,40,42,0,12,6.134569,2.445689,1,0,0
1,12,64,1,8,5.403668,2.918761,1,0,0
1,54,47,0,14,6.478663,2.674149,1,0,0
1,55,44,0,17,7.050859,2.890372,1,0,0
1,40,30,0,12,6.642891,2.525729,1,0,0
1,45,45,0,8,5.326759,1.609438,1,0,0
1,41,21,0,12,5.868873,1.871802,0,1,0
1,40,60,0,18,6.357704,2.841582,1,0,0
1,40,33,0,12,6.694178,2.110213,1,0,0
1,40,54,0,12,5.546661,1.808289,1,0,0
1,15,18,1,11,4.423648,1.348073,0,1,0
1,35,32,0,15,5.259109,1.871802,0,1,0
1,48,48,0,12,6.322188,2.396075,1,0,0
1,50,25,0,16,5.345106,1.704748,0,1,0
1,40,37,0,12,6.130509,2.327278,1,0,0
1,40,55,0,12,5.433067,1.791759,1,0,0
1,40,41,0,8,5.846872,1.832582,1,0,0
1,50,47,0,16,6.540034,2.639057,1,0,0
1,41,25,0,15,6.134569,2.276241,1,0,0
1,10,37,1,12,5.818717,3.516132,1,0,0
1,45,30,0,12,6.357704,2.564949,1,0,0
1,40,23,0,12,5.664557,1.94591,0,1,0
