give,age,sex,educ,income,trust
700,38,2,1,36000,2.46
300,25,1,1,36000,2.15
0,22,1,1,54000,2.45
0,22,1,1,60000,1.92
0,25,1,1,66000,3
0,32,1,1,42000,1.62
775,47,2,1,60000,1.54
525,40,2,2,42000,1.62
0,47,2,1,12000,2.69
160,29,1,2,54000,2.92
205,60,2,1,36000,2.62
25,37,1,1,66000,2.51
0,54,2,1,42000,2
110,21,1,1,42000,2.92
230,38,1,2,42000,2.69
615,33,1,1,66000,2.54
200,34,1,1,48000,1.85
500,30,2,1,18000,2
0,75,2,1,6000,1.72
0,41,2,1,12000,1.62
600,29,1,2,6000,2
0,49,1,1,12000,2
60,35,1,1,24000,2.23
10,56,2,1,36000,2
0,51,1,2,48000,1.69
0,68,1,1,24000,1
0,31,1,1,30000,2.46
29,60,2,2,42000,2.69
400,33,2,2,54000,2.09
300,53,2,1,36000,3
125,56,2,2,48000,1.89
0,28,2,2,48000,3.31
0,28,2,1,30000,2.38
675,38,1,1,30000,2.31
310,61,2,1,12000,1.85
0,67,2,1,24000,2.39
2000,73,1,2,54000,2.69
330,34,2,1,48000,2.38
200,53,2,1,30000,2.07
0,23,2,1,12000,1.62
150,34,2,1,18000,3.38
0,30,1,1,36000,2.23
130,37,2,1,24000,2.23
300,68,2,1,24000,1.58
0,65,2,1,18000,1.92
150,73,2,1,18000,2.43
560,50,2,1,78000,3
240,67,2,1,30000,2.31
0,56,2,1,12000,2.23
550,74,2,1,42000,2.31
5000,64,1,2,54000,2.46
0,27,2,2,36000,1.54
175,57,2,1,48000,2.07
240,64,2,1,12000,1.85
0,39,2,1,24000,1.38
0,29,2,2,42000,1.84
450,69,2,1,24000,1.85
60,73,1,1,24000,1.79
0,26,2,1,18000,2.12
110,39,1,1,42000,2.08
2235,65,2,1,30000,2.41
0,48,1,1,24000,1.73
6407,69,2,2,54000,2.13
70,47,2,1,60000,1.85
0,42,1,1,30000,2.46
50,31,1,1,24000,2.3
250,45,1,1,30000,2.56
0,79,2,1,18000,2.92
0,62,2,1,54000,1.77
0,29,1,1,72000,1.23
1530,36,1,1,24000,2.77
3000,40,2,1,6000,2.06
1550,48,2,2,78000,2.3
0,55,1,2,66000,2.54
0,63,2,1,66000,2.46
250,47,2,2,66000,2.69
6000,64,1,2,72000,1.69
520,21,1,1,54000,1.62
4500,48,2,1,54000,2.15
100,58,1,2,66000,2.62
100,51,2,1,78000,2.86
250,39,1,1,60000,2.12
3350,73,1,2,66000,2.69
0,69,1,1,6000,2
60,38,1,1,54000,3.15
3450,46,1,2,54000,2.38
2700,32,2,1,54000,3.08
1150,68,2,2,48000,2.77
880,40,2,1,36000,2.38
100,58,2,2,72000,2.23
500,32,2,1,72000,2.23
500,66,1,1,60000,2
290,31,1,2,54000,2.23
500,50,1,1,30000,2.46
3750,22,1,1,24000,3.08
6200,31,1,1,60000,2.62
0,19,1,1,36000,3.15
175,35,1,1,48000,2
22,29,2,1,54000,1.85
850,69,1,1,42000,1.77
0,31,1,2,6000,2.62
0,65,1,1,18000,3.08
500,48,2,1,54000,3
270,69,2,1,36000,2.61
0,30,1,1,42000,2.38
1030,52,1,1,60000,1.85
575,45,1,1,36000,2.23
70,30,2,1,48000,1.85
100,56,1,1,42000,2.77
0,46,2,1,12000,3.69
1350,31,1,1,54000,2.62
3050,73,1,1,18000,2.85
0,30,2,1,18000,2.17
0,19,2,1,54000,1.46
0,31,1,1,6000,1
0,67,1,1,48000,1
133,35,1,1,66000,2
310,30,2,1,60000,2
0,79,1,1,36000,1.97
0,72,1,1,12000,2.24
0,64,1,1,24000,1.24
4100,30,2,1,54000,2.15
50,56,1,1,48000,2
200,66,1,1,30000,1.92
0,75,2,1,42000,2.08
400,61,1,1,36000,3
0,31,1,1,18000,3.31
150,21,2,1,24000,2.69
0,34,2,1,42000,1.77
0,66,1,1,66000,1.79
0,45,1,1,6000,2.23
46,72,2,1,18000,3
15,21,1,1,12000,1.46
0,81,1,1,24000,2.46
110,75,2,1,12000,1.83
0,21,1,1,12000,2.54
0,66,1,1,30000,2.08
20,68,1,1,18000,2.85
120,40,1,2,42000,3.08
950,48,1,1,42000,2.85
300,62,1,2,42000,2
0,32,2,1,54000,2.08
0,44,2,1,66000,1.8
642,74,2,1,24000,1.38
0,65,1,2,36000,1.31
0,49,2,1,6000,1.92
1150,32,2,1,54000,2.31
300,47,2,2,30000,2.42
30,72,1,1,42000,1.58
550,60,1,1,12000,1
0,34,1,1,6000,1.77
320,24,1,1,66000,2.92
0,73,2,1,24000,1.77
1320,43,2,1,66000,2.46
900,31,2,2,60000,1.85
0,65,1,1,36000,2.77
550,53,2,1,60000,1.62
0,28,1,1,36000,2.46
700,27,1,1,54000,2.54
0,47,2,1,6000,3.15
270,41,1,1,66000,2.31
0,27,2,1,6000,2.38
0,39,1,1,48000,3.46
1030,44,1,2,72000,2.38
700,56,1,2,66000,1.85
175,54,2,1,36000,2.38
547,38,2,1,66000,2.77
0,49,1,1,30000,1.62
325,47,2,1,48000,2.23
2010,35,1,2,78000,2.38
0,44,2,1,12000,2
0,37,2,2,78000,2.77
0,42,2,2,60000,2.77
400,49,1,1,60000,2.46
500,44,1,2,78000,2.46
500,64,1,2,36000,2.23
250,39,2,1,18000,2.62
650,61,2,1,48000,3.31
5840,42,2,2,72000,2.77
0,40,1,1,72000,2.31
2105,53,2,2,78000,2.31
100,56,2,1,30000,2
0,22,2,1,66000,2.62
3055,42,1,1,72000,2.23
89,41,2,2,54000,2.25
230,34,2,1,18000,2.4
752,28,2,1,42000,2.23
300,41,2,1,18000,3.46
700,30,1,2,48000,3.31
475,46,2,2,48000,2.38
511,46,2,2,30000,2.58
50,35,1,2,66000,2.08
22,45,2,1,42000,2
30,51,2,1,48000,2.23
0,51,1,1,54000,2.98
0,45,1,2,66000,2.51
150,65,2,1,24000,2.62
1020,73,1,1,18000,2.5
100,27,1,1,30000,3.08
70,29,2,1,18000,3.54
0,63,1,1,36000,1.54
2250,59,2,2,72000,2.59
1240,71,2,1,18000,2.54
0,62,2,1,42000,1.62
0,44,1,1,6000,1.54
0,68,1,1,6000,2.31
400,30,1,1,12000,2.46
0,34,1,1,24000,1.85
0,27,2,1,12000,3.46
10,35,1,2,60000,2.27
350,33,1,2,48000,2.46
70,72,2,1,36000,1.85
35,58,2,1,42000,2.38
24,23,1,1,12000,2.38
200,49,2,1,66000,1.85
350,42,1,1,60000,2.62
500,38,2,1,42000,2.52
50,32,2,1,60000,2.92
230,33,1,2,48000,3.08
3250,29,1,1,60000,2.62
0,41,1,2,66000,1.86
145,32,2,1,36000,3.15
0,67,1,2,12000,2.06
1300,37,1,1,36000,1.85
430,35,1,1,36000,1.77
50,62,2,1,30000,2.38
90,35,2,1,24000,1.82
470,70,2,1,30000,2.46
5200,49,1,2,78000,2.92
1675,32,1,2,60000,2.33
380,35,1,1,36000,2.23
110,77,2,1,18000,2.77
0,88,2,1,24000,2.15
165,39,2,2,60000,2.54
11,71,2,1,18000,2.15
500,64,1,1,30000,2.69
0,20,1,1,66000,2.23
1360,49,2,1,60000,1.92
250,55,2,1,66000,2.08
0,29,1,1,66000,2.32
3400,53,2,2,60000,2.15
0,26,1,1,66000,1.46
400,28,1,1,30000,2.23
250,33,1,2,42000,2.69
1350,45,1,2,30000,2.85
335,72,1,1,60000,2.46
155,58,2,2,48000,2.62
0,26,1,1,18000,2.38
400,39,2,1,30000,1.85
320,46,1,1,30000,2.04
440,32,2,1,42000,2.54
0,64,2,1,18000,2.03
0,62,1,1,24000,2.38
205,32,2,1,48000,2.85
4500,55,1,1,60000,2.15
1100,74,2,1,18000,2.38
0,69,2,2,66000,2.38
0,31,2,1,72000,1.85
0,32,1,1,36000,1.15
200,31,2,2,66000,2.46
1600,50,1,1,54000,2.31
0,33,1,1,60000,2.25
1150,36,2,2,60000,2.54
300,32,1,1,60000,1.85
280,62,2,1,72000,2.15
0,44,1,1,42000,1.62
700,59,2,1,72000,2
800,66,1,1,60000,2
285,45,2,2,66000,2.23
80,51,1,1,60000,2
0,48,1,1,60000,1.92
0,51,1,1,24000,1.38
52,35,2,1,30000,2.69
50,51,2,1,48000,2.46
200,38,1,1,42000,2.46
0,70,2,1,42000,2.32
50,42,2,1,48000,2.46
4600,77,1,1,66000,2.23
400,49,1,1,36000,2.46
0,88,2,1,12000,2.28
45,28,2,1,36000,1.97
550,50,1,1,54000,2.33
250,65,1,2,36000,2.23
170,77,2,1,12000,2.69
330,73,2,1,30000,2.62
585,46,2,1,78000,3.46
1140,52,2,1,66000,2.75
0,38,1,1,42000,2.24
50,79,1,1,18000,3.15
215,31,2,2,36000,2.08
50,42,1,2,72000,1.85
8,18,2,1,6000,2.92
520,62,1,2,36000,2.85
0,19,1,1,66000,2.77
500,79,1,1,36000,2.46
500,28,1,1,36000,3.54
6000,50,1,2,66000,2.23
1750,60,1,2,60000,1.85
610,55,2,2,66000,2.46
90,21,1,2,30000,3.46
50,34,2,1,36000,2.15
160,28,2,2,30000,2.69
0,33,2,1,48000,3
0,60,1,2,18000,2.85
1510,40,2,1,48000,2.31
0,25,2,1,6000,2.92
0,35,2,1,12000,1.77
600,47,2,1,66000,2.45
550,49,2,2,60000,2.33
5500,28,1,1,6000,1.78
104,59,1,1,42000,2.3
0,26,2,1,30000,2.15
550,57,2,1,42000,1.85
500,68,1,1,30000,2.46
0,20,1,1,6000,2.54
0,38,1,2,60000,2.08
0,28,2,1,6000,1.85
52,28,2,1,30000,2.48
52,29,1,1,6000,2.38
525,48,1,1,24000,1.94
30,38,2,1,6000,2.62
525,41,1,1,42000,2.77
0,33,2,1,6000,3.62
0,47,1,1,6000,2.62
170,21,1,1,72000,1.92
230,30,1,1,60000,1.66
850,64,1,1,24000,2.46
0,32,2,1,60000,2.31
260,70,1,1,18000,2.31
100,33,1,1,54000,1.62
0,35,1,1,60000,2.08
0,31,1,1,30000,2.15
450,51,1,1,48000,1.38
0,40,2,1,12000,1.85
0,66,2,1,30000,2
250,26,1,2,42000,1.99
650,62,2,2,72000,1.69
295,43,1,1,54000,1.88
0,38,1,2,48000,2.85
350,31,2,1,48000,2.54
0,42,1,1,30000,3.54
300,26,2,1,36000,2.46
0,45,1,1,18000,2.77
0,66,1,1,54000,2.62
0,24,1,1,66000,1.55
10,38,2,1,18000,2.54
100,65,1,1,18000,1.77
100,84,2,2,30000,2.93
2300,71,2,1,60000,2.85
0,44,1,1,72000,2.48
0,20,1,1,6000,2
0,27,2,1,6000,1.71
0,47,1,1,60000,3.54
0,35,1,1,24000,1.81
0,43,2,1,6000,2.54
0,23,2,1,6000,2.15
0,64,2,1,6000,2.41
650,39,2,2,54000,2.62
0,18,1,1,6000,1.77
600,30,2,1,48000,3.46
225,29,1,1,42000,2
0,38,2,1,18000,3.09
5200,36,2,2,60000,2.31
800,82,1,1,18000,2.1
225,29,1,2,60000,1.92
0,23,2,2,60000,3.46
0,29,2,2,60000,2.15
2500,70,2,1,54000,1.69
1040,75,2,1,12000,2.31
490,25,2,1,66000,2.62
1125,77,2,2,60000,2.46
80,27,1,2,60000,2.85
0,54,1,1,78000,1.9
0,20,2,2,78000,2.31
530,36,1,2,78000,2.77
0,44,2,2,60000,2.54
650,31,1,2,78000,1.92
75,41,1,1,54000,2.38
0,37,1,1,60000,1.38
2445,36,2,2,66000,1.69
2600,33,1,2,72000,2.15
200,68,1,1,24000,1.92
250,84,2,1,6000,2
0,68,1,1,48000,2.32
700,67,1,1,66000,1.92
0,36,2,1,60000,2
0,40,2,2,66000,2.85
325,37,2,1,66000,2.23
875,42,2,1,78000,2.31
200,27,1,1,60000,3.08
35,24,2,1,24000,2.08
800,29,2,1,54000,1.81
580,28,2,1,48000,2.69
1295,38,2,1,48000,2.02
2152,62,1,1,42000,2
1000,42,1,2,72000,2.46
1500,66,1,1,24000,2.38
25,25,1,1,18000,2.62
0,20,1,1,24000,1.16
0,37,2,1,30000,2
0,55,1,1,24000,2.38
830,42,1,2,72000,2.46
0,18,2,1,48000,3
175,31,1,2,78000,2.62
0,21,2,1,24000,2.62
0,69,2,1,6000,3
300,35,2,2,66000,1.77
205,19,1,1,66000,2.54
275,41,2,1,48000,2.31
0,68,1,1,54000,2.15
695,78,2,1,18000,3.11
2750,67,1,1,60000,2.31
5280,63,1,2,60000,1.15
0,61,2,2,48000,2.38
20000,31,1,1,78000,1.92
75,27,1,1,78000,2.23
650,24,2,1,24000,2.77
0,50,1,1,18000,1.63
220,45,1,1,66000,2.02
60,28,1,2,66000,2.19
250,34,1,1,30000,2.46
0,25,1,1,36000,2.14
200,52,1,1,60000,1.77
170,39,2,1,42000,2.54
0,40,2,1,54000,1.93
175,31,2,1,24000,2.23
600,62,1,1,18000,2.85
1700,39,1,1,24000,2.34
50,33,2,1,18000,2
0,67,2,1,6000,2.92
0,30,1,1,48000,2.69
2700,46,1,2,78000,2.46
2000,43,1,1,42000,3.85
195,77,1,1,48000,1.62
430,34,2,1,54000,2.46
180,32,2,2,48000,2.23
0,32,1,1,18000,1
500,51,2,1,66000,2.46
0,80,2,1,18000,2.1
165,44,2,1,66000,2.54
700,91,1,1,24000,3.46
0,61,2,1,54000,1.63
1020,51,1,2,66000,2.38
2600,37,2,2,24000,2
785,45,1,1,66000,2.23
0,49,2,1,60000,2.16
1320,35,2,1,66000,2.77
800,29,1,2,30000,2.23
0,22,2,1,6000,2
0,59,1,1,24000,1.82
500,39,2,1,48000,2.08
0,21,1,1,42000,3.62
0,31,2,1,18000,3.08
3400,31,2,1,18000,3.34
611,43,2,1,60000,2.15
0,75,1,1,24000,1.77
66,26,2,1,66000,2.7
0,23,2,1,48000,2.15
1500,48,1,1,60000,2.23
1100,36,1,2,60000,1.92
8210,40,1,2,66000,2
5570,52,1,1,72000,2.38
1245,30,1,2,72000,2.62
0,55,1,1,72000,2.15
600,64,1,2,60000,2.31
0,43,2,1,72000,1.77
0,45,2,2,60000,2
750,34,2,2,66000,2.38
2230,62,2,1,30000,1.31
1020,43,1,1,48000,3.15
475,75,1,1,42000,2.46
0,19,2,1,72000,2
700,67,1,2,72000,2
375,43,2,2,66000,2.15
7980,63,1,2,60000,2
150,35,1,1,30000,2.46
575,64,2,2,54000,2.23
1630,40,2,1,54000,1.77
2250,32,1,2,36000,2.15
800,54,1,1,60000,2.12
1250,73,1,1,36000,2.5
0,25,1,1,24000,2.31
1100,71,2,1,30000,2.62
0,46,2,1,54000,2.62
50,24,1,2,42000,2.08
20,23,2,2,12000,2.54
320,70,1,1,48000,2.54
10,22,1,2,6000,2.69
2515,68,2,1,54000,2.42
50,67,1,1,30000,1.77
5,20,2,1,42000,2.31
0,27,2,2,54000,2.69
6675,51,1,1,60000,2.46
200,35,1,1,24000,2.08
4000,42,2,1,78000,2.08
0,49,2,1,18000,2.54
400,58,1,1,18000,2.38
0,59,2,1,42000,3.08
300,71,2,1,6000,2.46
0,64,2,1,12000,2.62
0,24,2,1,6000,2
850,67,1,1,42000,2.23
500,82,1,1,12000,2.23
200,75,1,1,36000,2.43
1050,35,2,1,60000,2.54
0,59,1,1,24000,1.23
0,46,1,1,24000,3.55
0,30,1,1,24000,3.31
1170,74,1,1,30000,1.55
100,35,1,2,36000,2.62
400,32,1,1,36000,2.56
209,76,1,1,12000,2.56
185,32,2,1,48000,1.85
2085,48,1,1,30000,2.46
300,43,1,1,72000,1.92
130,57,2,1,24000,2
118,23,2,2,30000,2.92
0,65,2,1,18000,1.72
100,72,1,1,24000,2.46
0,46,2,1,30000,2.46
100,85,2,1,18000,1.85
0,42,1,1,48000,2.46
0,42,1,1,54000,3.08
200,70,1,2,72000,2.54
0,32,1,1,36000,1.93
0,37,2,1,18000,1.49
50,87,1,1,6000,2.11
0,28,2,1,18000,2.54
10,36,2,1,6000,1.94
0,41,2,1,30000,1.85
0,63,1,1,30000,2
100,72,1,1,30000,2.62
300,72,1,2,42000,2.03
95,71,1,1,42000,2
220,34,2,2,48000,2.92
200,48,2,2,48000,2.46
0,91,2,1,42000,2.08
1550,51,1,1,48000,2.35
0,42,1,1,78000,2.38
2300,41,1,2,78000,2.31
2250,48,2,1,72000,2.46
250,89,1,1,30000,1.65
300,77,1,1,18000,1.85
600,49,1,1,48000,1.92
550,58,2,1,72000,1.65
350,42,1,1,48000,1.77
100,42,2,1,66000,1.92
105,30,2,1,60000,2.54
0,60,1,1,48000,1.85
0,29,2,1,48000,2.23
200,44,1,1,66000,1.77
2100,69,1,1,30000,1.99
0,61,1,1,6000,1.16
100,32,2,1,12000,2.38
3100,40,1,2,78000,3
350,30,2,2,78000,2
800,60,2,2,66000,1.85
2875,42,1,2,66000,2.4
5015,42,1,1,48000,2.17
275,24,1,1,54000,2
0,22,1,1,18000,3
3005,60,2,1,42000,1.92
75,63,2,1,12000,1.77
85,23,1,1,30000,3.15
547,40,1,2,54000,2.92
330,44,1,1,42000,2.23
0,19,1,1,24000,2.08
90,29,2,1,54000,2.33
0,56,1,1,30000,2.69
1000,77,2,1,24000,2.08
2500,41,1,1,48000,2.35
150,50,2,2,18000,2.38
0,66,1,1,24000,1
25,56,2,1,60000,2.15
0,27,1,1,54000,1.08
0,24,1,1,60000,1.33
0,25,1,1,36000,2
400,41,2,1,60000,2.62
5425,52,2,2,54000,3.08
900,29,2,2,60000,2.46
7100,32,1,2,72000,2.42
3465,75,1,1,66000,2.34
0,47,1,2,36000,1.46
15,30,2,1,60000,2.15
0,76,1,1,12000,2.15
190,26,2,1,54000,2.46
500,59,2,1,30000,1.69
100,43,1,2,72000,2.32
0,67,2,1,60000,3
1050,68,2,1,72000,2.46
0,42,1,1,78000,1.8
0,62,1,2,72000,2.86
1420,45,2,2,66000,2.77
1350,47,1,2,72000,2.54
0,50,1,1,42000,2
30,27,2,1,42000,2.31
320,53,2,1,48000,2.23
400,26,1,1,60000,1.92
20,32,1,2,60000,2.39
100,26,2,1,48000,2
1000,48,1,1,54000,1.85
0,44,1,2,54000,2.53
40,31,1,1,42000,3.31
85,25,2,1,18000,1.92
100,55,2,2,30000,2.46
200,29,1,2,36000,2.77
0,47,1,1,24000,1.77
80,59,2,1,60000,2.49
840,28,2,2,78000,3.46
780,35,1,2,72000,2.38
460,69,2,1,24000,2.23
1600,50,2,1,60000,2.85
290,51,1,1,54000,2.09
2500,58,1,1,54000,1.77
2010,59,1,1,24000,1.7
1205,65,2,1,24000,2.38
1305,58,2,1,30000,2.13
4450,36,2,2,78000,2.46
600,32,1,1,42000,2
15,49,1,1,60000,1.92
500,53,2,1,48000,1.77
500,52,2,1,48000,2.43
650,58,2,1,54000,2.62
0,43,1,1,6000,2.12
250,36,2,1,30000,2.08
68,22,1,1,42000,2.54
700,80,1,2,48000,2.02
1000,65,1,1,54000,2.38
0,50,2,2,36000,2.31
1450,66,2,1,30000,2.09
410,24,2,1,42000,2.62
461,60,2,1,30000,2.08
720,38,2,2,60000,2.46
50,24,2,2,48000,2.77
650,82,2,1,42000,2.46
1200,83,2,1,42000,2.41
750,47,1,1,72000,2.72
15,31,1,1,30000,2
0,58,1,1,60000,2
208,45,2,1,36000,1.92
1000,44,1,1,24000,2.08
0,90,2,1,18000,2.27
3045,69,1,2,42000,2.62
310,32,2,2,48000,2.54
800,29,1,2,48000,2.62
350,52,1,2,36000,2.04
300,34,1,1,72000,2.46
0,70,2,1,12000,2.54
0,86,2,1,30000,2.23
0,58,2,1,18000,2.57
0,59,2,1,18000,2.46
0,44,1,1,36000,2.3
3000,55,2,1,42000,1.77
25,45,1,2,60000,1.23
0,21,1,1,24000,2.38
1100,73,2,1,6000,2.4
770,60,1,1,18000,2.54
300,87,1,1,36000,2.13
200,21,1,1,6000,2.54
500,32,1,2,18000,3.31
0,46,2,1,6000,2.31
0,49,1,2,72000,2.71
800,45,2,1,66000,2.15
1115,46,2,2,78000,1.69
1900,58,1,1,60000,2.08
1090,61,2,1,78000,2.38
50,53,2,1,30000,1.92
75,73,2,1,36000,1.88
0,53,2,1,60000,2.62
0,74,1,1,30000,2.08
150,38,2,2,72000,2.77
1900,65,2,1,72000,1.85
0,59,2,1,24000,1.85
0,26,1,1,18000,2.77
0,28,2,1,30000,2.38
2610,45,2,2,42000,3.15
50,76,2,1,18000,2.54
0,62,1,1,12000,3.15
0,57,1,1,6000,3.31
110,55,1,2,54000,3.15
70,30,2,1,6000,2.85
150,55,2,1,60000,2.85
675,54,1,1,60000,1.64
0,73,2,2,54000,2.54
160,20,1,1,42000,2.15
1190,52,1,2,66000,3
640,54,2,1,72000,1.81
2600,63,2,2,66000,1.62
1230,64,2,1,30000,1.92
0,28,1,1,30000,1.79
0,32,2,1,42000,2.54
950,53,1,2,48000,2.31
350,44,1,2,66000,2.54
0,29,2,2,54000,2.69
25,29,2,1,42000,2.23
125,42,1,2,54000,1.77
705,43,2,1,48000,2.54
1000,37,2,1,60000,2.08
481,50,1,1,66000,1.92
0,26,1,1,12000,2.31
150,67,1,2,36000,2
4400,38,2,2,66000,2.77
5000,43,2,1,36000,2.46
200,37,1,2,54000,2.31
600,34,2,2,72000,2.62
0,33,2,1,12000,2.25
0,43,1,1,42000,2.31
500,48,1,2,54000,2.11
2000,58,1,1,48000,1.69
260,32,1,2,54000,2.18
850,37,2,2,66000,2.08
2825,38,1,1,36000,2.38
175,22,1,2,6000,2.77
0,56,1,1,36000,1.92
90,49,2,1,48000,2.46
3285,37,1,1,42000,2.28
4400,18,1,1,54000,1.85
1000,66,1,1,42000,2.77
160,43,1,2,72000,2.38
8100,36,1,2,60000,2.57
75,52,1,1,30000,1.92
280,27,2,1,54000,3.23
95,42,1,1,12000,2.31
1325,35,1,1,60000,2.08
80,74,2,1,18000,2.92
500,74,1,1,30000,2.31
300,40,2,1,36000,1.85
1310,49,2,1,54000,3.46
80,24,1,1,18000,1.46
102,28,2,2,60000,2.86
0,79,1,1,18000,1.23
300,55,1,2,60000,2.08
30,34,2,1,36000,2.23
0,45,1,1,66000,2.85
0,62,1,1,78000,2.65
610,44,1,1,54000,1.77
300,38,1,1,48000,2.13
250,34,1,2,60000,3.46
10,62,2,2,54000,2.62
90,77,2,2,60000,1.69
0,37,1,1,36000,1.62
600,66,1,1,54000,2.23
0,46,1,2,48000,2.23
100,40,2,2,72000,3.38
350,38,1,2,60000,2.54
0,70,2,1,30000,1.81
0,67,1,1,12000,1.85
100,29,2,1,54000,2.25
270,23,2,1,48000,2.69
0,32,2,1,42000,1.85
750,63,2,1,66000,2.54
0,30,2,2,42000,2.09
0,41,1,1,30000,2.11
0,40,1,1,48000,2.62
0,22,1,1,54000,2.46
0,74,1,1,18000,1.89
3025,57,1,2,54000,2.23
100,60,2,1,48000,2.38
200,44,2,1,72000,2
35,34,2,1,54000,2.54
180,69,2,1,24000,2
0,67,1,1,30000,2.92
645,64,2,1,30000,2.31
300,44,2,1,48000,2.54
275,41,2,1,54000,2
100,24,1,1,42000,2.77
100,57,2,2,42000,1.77
325,41,2,2,36000,2.18
300,45,1,2,66000,2.23
170,32,1,1,30000,2.85
280,38,2,1,42000,2.25
0,26,1,2,54000,2.69
5,51,2,1,60000,1.54
425,60,2,2,48000,1.8
200,29,2,1,24000,2.31
600,34,2,1,54000,2.62
3000,40,1,1,30000,2.1
300,33,1,1,54000,2.54
1710,27,2,1,24000,2.13
4475,44,1,2,54000,2.62
100,77,1,1,24000,2.12
0,72,2,1,36000,2.54
450,68,2,1,12000,2.69
0,27,1,1,30000,2.54
1850,76,1,1,48000,2.31
190,38,2,2,30000,2.15
0,71,1,1,48000,2.77
10,25,1,2,24000,2.15
225,54,1,1,36000,2.73
0,45,2,1,6000,2.08
255,49,2,1,48000,3
950,34,2,1,54000,2.69
335,38,2,1,54000,2.54
4450,75,2,1,24000,2.16
175,54,2,1,42000,1.92
2000,40,1,2,42000,2.31
450,53,2,2,60000,2.23
700,76,1,1,24000,2.77
0,32,1,1,6000,2.69
100,23,1,1,54000,3.38
0,63,1,1,66000,1.92
60,56,2,1,18000,1.31
20,61,2,1,36000,1.77
0,39,2,1,12000,1.31
40,56,2,1,6000,3.46
250,65,2,1,36000,1.88
0,51,2,1,48000,1.54
120,74,1,1,30000,2.46
1250,35,1,2,60000,2
500,27,1,1,60000,2.69
0,18,1,1,54000,2.69
0,37,1,1,48000,1.85
250,55,1,2,48000,2.85
0,37,1,2,48000,2.25
300,32,1,1,42000,2.23
1035,70,2,1,36000,2.92
4610,52,1,2,60000,2.31
2000,34,1,2,48000,1.92
100,66,2,2,48000,2.85
100,40,2,1,48000,2.54
0,38,2,2,42000,1.85
150,42,1,2,12000,1.85
550,45,1,2,72000,2.23
350,30,1,2,60000,2.38
1025,33,1,2,48000,2.16
1000,69,1,1,42000,3.62
1075,69,1,1,54000,2.38
1000,90,2,1,18000,3.1
50,23,2,1,72000,1.92
0,26,1,1,42000,2.54
0,44,2,1,36000,1.92
480,31,2,1,6000,3.23
0,41,1,1,24000,2.46
0,33,2,1,18000,2.89
525,41,1,1,30000,2.69
675,44,2,1,66000,1.81
250,34,2,2,60000,2.24
4200,42,2,1,24000,2
60,59,1,1,30000,3.15
15,21,1,1,12000,3
25,55,1,1,48000,2.85
6060,47,1,2,66000,3.15
2550,43,2,1,24000,2.24
120,48,2,1,36000,2.92
1950,32,2,2,66000,3
6815,42,1,2,66000,1.77
100,48,2,1,48000,2.15
0,38,1,2,42000,1.54
0,51,1,1,36000,2.31
65,61,2,1,24000,2.69
150,36,1,1,48000,3.54
70,71,2,1,24000,3.08
100,74,1,1,18000,2.85
240,65,2,1,6000,2.46
550,53,2,2,66000,1.85
0,51,1,2,48000,1.85
140,23,1,1,30000,3
0,41,1,1,24000,2.38
0,76,1,1,18000,1.77
0,23,1,1,18000,2.23
0,26,2,1,6000,2.41
205,57,2,1,18000,1.86
0,24,1,1,6000,3
0,55,1,1,6000,2.92
0,85,2,1,6000,2.48
0,20,1,1,6000,2.32
150,45,2,1,24000,2.77
0,19,2,1,48000,2.1
800,36,2,1,12000,2.92
0,77,2,1,6000,3.08
160,54,1,1,36000,2.19
0,28,2,2,54000,3
0,60,2,1,6000,2.14
400,26,1,1,42000,2
100,24,1,1,36000,3.08
155,34,1,1,36000,3.15
315,56,2,1,18000,1.92
175,41,2,1,30000,2.77
0,42,1,1,60000,2.31
50,71,1,1,12000,2.31
240,46,1,1,36000,2.62
0,31,2,1,42000,2.31
0,43,1,1,30000,2.31
0,26,2,1,54000,2.54
50,78,1,1,12000,2.14
0,53,2,1,24000,2.15
0,18,2,1,66000,2
0,18,1,1,66000,1.46
1040,56,2,1,30000,3.08
100,21,2,1,30000,1.77
70,39,2,1,24000,1.77
0,23,1,1,42000,3.08
150,32,1,1,30000,2.54
450,53,2,1,66000,1.69
0,19,1,1,12000,1.69
0,18,1,1,24000,2.38
0,32,1,1,6000,1.85
0,91,2,1,6000,1.48
0,19,2,1,18000,1.85
1900,35,1,1,42000,3.23
300,32,2,1,54000,1.85
40,55,2,1,78000,2.77
0,19,1,1,18000,1.18
0,46,2,1,6000,2.08
50,19,1,1,24000,1.92
0,74,1,1,6000,2
1200,42,2,2,30000,2.08
165,55,1,1,48000,2.38
500,19,2,1,24000,3.46
20,61,1,1,30000,2.46
200,30,2,2,60000,2.46
50,53,2,1,42000,1.69
30,50,1,1,18000,2.62
175,38,2,1,12000,2.69
5000,66,1,2,36000,3.46
2845,40,2,2,42000,2
5250,40,2,1,42000,2.69
0,51,2,1,60000,2.77
0,37,1,1,48000,3.54
50,24,2,1,36000,2.38
50,61,2,1,12000,2.31
0,29,1,1,18000,2.46
26,26,2,1,42000,3.77
4,67,2,1,12000,3.69
0,19,1,1,6000,3.77
9,18,2,1,6000,2.15
0,26,2,1,18000,1.95
0,26,1,1,12000,2.46
0,18,2,1,48000,2
0,42,1,1,30000,2
0,56,2,1,18000,2.08
200,68,2,1,18000,1.92
